datetime,AT_solar_generation_actual
2017-02-04,5843.59
2017-02-05,7358.78
2017-02-06,3223.89
2017-02-07,4118.49
2017-02-08,5596.62
2017-02-09,6677.57
2017-02-10,6586.72
2017-02-11,6619.21
2017-02-12,6721.35
2017-02-13,8250.68
2017-02-14,8901.56
2017-02-15,9817.21
2017-02-16,9531.01
2017-02-17,5331.29
2017-02-18,7004.83
2017-02-19,9818.52
2017-02-20,8259.16
2017-02-21,5899.64
2017-02-22,8475.74
2017-02-23,10447.19
2017-02-24,7833.54
2017-02-25,12071.66
2017-02-26,8126.5599999999995
2017-02-27,11475.93
2017-02-28,11980.18
2017-03-01,9630.72
2017-03-02,8780.09
2017-03-03,9982.38
2017-03-04,10777.49
2017-03-05,8981.54
2017-03-06,8630.43
2017-03-07,8180.81
2017-03-08,11041.36
2017-03-09,7049.32
2017-03-10,9023.72
2017-03-11,11733.82
2017-03-12,12505.89
2017-03-13,13744.16
2017-03-14,11543.97
2017-03-15,11161.21
2017-03-16,13219.68
2017-03-17,14172.53
2017-03-18,8299.5
2017-03-19,8143.99
2017-03-20,12211.22
2017-03-21,10955.95
2017-03-22,9258.12
2017-03-23,13768.74
2017-03-24,15032.18
2017-03-25,16394.43
2017-03-26,14646.77
2017-03-27,16974.96
2017-03-28,16846.94
2017-03-29,16109.02
2017-03-30,14667.37
2017-03-31,17357.06
2017-04-01,17157.69
2017-04-02,16473.68
2017-04-03,14878.02
2017-04-04,13412.95
2017-04-05,11805.14
2017-04-06,14721.99
2017-04-07,12035.95
2017-04-08,16012.5
2017-04-09,19087.54
2017-04-10,18720.45
2017-04-11,13112.78
2017-04-12,16178.8
2017-04-13,14438.24
2017-04-14,16473.57
2017-04-15,13426.27
2017-04-16,13033.13
2017-04-17,12509.93
2017-04-18,13058.4
2017-04-19,12306.09
2017-04-20,13013.87
2017-04-21,19711.41
2017-04-22,15796.15
2017-04-23,17311.55
2017-04-24,20856.26
2017-04-25,17832.88
2017-04-26,15514.43
2017-04-27,10916.27
2017-04-28,11865.25
2017-04-29,18833.96
2017-04-30,22395.079999999998
2017-05-01,19703.54
2017-05-02,19995.99
2017-05-03,16627.75
2017-05-04,17606.76
2017-05-05,15271.84
2017-05-06,20157.18
2017-05-07,15242.85
2017-05-08,14796.93
