"Area","MTU","Solar  - Actual Aggregated [MW]"
"Austria (AT)","03.01.2016 15:00 - 03.01.2016 15:15 (UTC)","14"
"Austria (AT)","03.01.2016 15:15 - 03.01.2016 15:30 (UTC)","12"
"Austria (AT)","03.01.2016 15:30 - 03.01.2016 15:45 (UTC)","10"
"Austria (AT)","03.01.2016 15:45 - 03.01.2016 16:00 (UTC)","8"
"Austria (AT)","03.01.2016 16:00 - 03.01.2016 16:15 (UTC)","7"
"Austria (AT)","03.01.2016 16:15 - 03.01.2016 16:30 (UTC)","7"
"Austria (AT)","03.01.2016 16:30 - 03.01.2016 16:45 (UTC)","7"
"Austria (AT)","03.01.2016 16:45 - 03.01.2016 17:00 (UTC)","7"
"Austria (AT)","03.01.2016 17:00 - 03.01.2016 17:15 (UTC)","7"
"Austria (AT)","03.01.2016 17:15 - 03.01.2016 17:30 (UTC)","7"
"Austria (AT)","03.01.2016 17:30 - 03.01.2016 17:45 (UTC)","7"
"Austria (AT)","03.01.2016 17:45 - 03.01.2016 18:00 (UTC)","7"
"Austria (AT)","03.01.2016 18:00 - 03.01.2016 18:15 (UTC)","0"
"Austria (AT)","03.01.2016 18:15 - 03.01.2016 18:30 (UTC)","0"
"Austria (AT)","03.01.2016 18:30 - 03.01.2016 18:45 (UTC)","0"
"Austria (AT)","03.01.2016 18:45 - 03.01.2016 19:00 (UTC)","0"
"Austria (AT)","03.01.2016 19:00 - 03.01.2016 19:15 (UTC)","0"
"Austria (AT)","03.01.2016 19:15 - 03.01.2016 19:30 (UTC)","0"
"Austria (AT)","03.01.2016 19:30 - 03.01.2016 19:45 (UTC)","0"
"Austria (AT)","03.01.2016 19:45 - 03.01.2016 20:00 (UTC)","0"
"Austria (AT)","03.01.2016 20:00 - 03.01.2016 20:15 (UTC)","0"
"Austria (AT)","03.01.2016 20:15 - 03.01.2016 20:30 (UTC)","0"
"Austria (AT)","03.01.2016 20:30 - 03.01.2016 20:45 (UTC)","0"
"Austria (AT)","03.01.2016 20:45 - 03.01.2016 21:00 (UTC)","0"
"Austria (AT)","03.01.2016 21:00 - 03.01.2016 21:15 (UTC)","0"
"Austria (AT)","03.01.2016 21:15 - 03.01.2016 21:30 (UTC)","0"
"Austria (AT)","03.01.2016 21:30 - 03.01.2016 21:45 (UTC)","0"
"Austria (AT)","03.01.2016 21:45 - 03.01.2016 22:00 (UTC)","0"
"Austria (AT)","03.01.2016 22:00 - 03.01.2016 22:15 (UTC)","0"
"Austria (AT)","03.01.2016 22:15 - 03.01.2016 22:30 (UTC)","0"
"Austria (AT)","03.01.2016 22:30 - 03.01.2016 22:45 (UTC)","0"
"Austria (AT)","03.01.2016 22:45 - 03.01.2016 23:00 (UTC)","0"
"Austria (AT)","03.01.2016 23:00 - 03.01.2016 23:15 (UTC)","0"
"Austria (AT)","03.01.2016 23:15 - 03.01.2016 23:30 (UTC)","0"
"Austria (AT)","03.01.2016 23:30 - 03.01.2016 23:45 (UTC)","0"
"Austria (AT)","03.01.2016 23:45 - 04.01.2016 00:00 (UTC)","0"
"Austria (AT)","04.01.2016 00:00 - 04.01.2016 00:15 (UTC)","0"
"Austria (AT)","04.01.2016 00:15 - 04.01.2016 00:30 (UTC)","0"
"Austria (AT)","04.01.2016 00:30 - 04.01.2016 00:45 (UTC)","0"
"Austria (AT)","04.01.2016 00:45 - 04.01.2016 01:00 (UTC)","0"
"Austria (AT)","04.01.2016 01:00 - 04.01.2016 01:15 (UTC)","0"
"Austria (AT)","04.01.2016 01:15 - 04.01.2016 01:30 (UTC)","0"
"Austria (AT)","04.01.2016 01:30 - 04.01.2016 01:45 (UTC)","0"
"Austria (AT)","04.01.2016 01:45 - 04.01.2016 02:00 (UTC)","0"
"Austria (AT)","04.01.2016 02:00 - 04.01.2016 02:15 (UTC)","0"
"Austria (AT)","04.01.2016 02:15 - 04.01.2016 02:30 (UTC)","0"
